site_id,equipment_type,week,checkout_date,checkin_date,equipment_id,rate_per_day,maintenance_count,engine_hours,idle_hours,year_week,target_checkout_count,week_num,year,eq_key,count,checkout_count_t-1,checkout_count_t-4,rolling_mean_4w,price_index,pct_maint,engine_hours_avg,idle_ratio_avg,equipment_type_encoded,usage_efficiency,rental_duration,rate_relative,recent_maintenance,maintenance_per_day,engine_hours_per_day,month_sin,month_cos,week_sin,week_cos,rolling_std_4w,rolling_max_4w
S002,Excavator,2025-W35,2025-08-28,2025-09-04,EX8187,450,2,46,12,2025-W35,1,35,2025,EX8187_Excavator,1,1.0,2.0,1.0,0.9858742004264393,2.0,46.0,0.20689655172413793,3,0.7391304347826086,7,0.9858742004264393,1,0.2857142857142857,6.571428571428571,-0.8660254037844384,-0.5000000000000004,-0.8854560256532096,-0.4647231720437691,0.5,2.0
S002,Loader,2025-W35,2025-08-26,2025-09-03,LO9796,300,3,44,6,2025-W35,1,35,2025,LO9796_Loader,1,1.0,2.0,1.0,0.6365328370114332,3.0,44.0,0.12,4,0.8636363636363636,8,0.6365328370114332,1,0.375,5.5,-0.8660254037844384,-0.5000000000000004,-0.8854560256532096,-0.4647231720437691,0.0,1.0
S001,Bulldozer,2025-W35,2025-08-25,2025-09-02,BU9441,500,1,42,8,2025-W35,1,35,2025,BU9441_Bulldozer,1,2.0,1.0,1.25,1.0870133263652992,1.0,42.0,0.16,0,0.8095238095238095,8,1.0870133263652992,1,0.125,5.25,-0.8660254037844384,-0.5000000000000004,-0.8854560256532096,-0.4647231720437691,0.0,1.0
S004,Bulldozer,2025-W34,2025-08-22,2025-08-29,BU6427,450,3,39,10,2025-W34,1,34,2025,BU6427_Bulldozer,1,1.0,2.0,1.25,0.9783119937287692,3.0,39.0,0.20408163265306123,0,0.7435897435897436,7,0.9783119937287692,1,0.42857142857142855,5.571428571428571,-0.8660254037844384,-0.5000000000000004,-0.8229838658936564,-0.5680647467311559,0.0,1.0
S001,Crane,2025-W34,2025-08-18,2025-08-21,CR5266,250,1,14,4,2025-W34,1,34,2025,CR5266_Crane,1,1.0,1.0,1.0,0.5314533622559653,1.0,14.0,0.2222222222222222,2,0.7142857142857143,3,0.5314533622559653,1,0.3333333333333333,4.666666666666667,-0.8660254037844384,-0.5000000000000004,-0.8229838658936564,-0.5680647467311559,1.0000000000000004,3.0
S002,Compactor,2025-W33,2025-08-17,2025-08-26,CO8461,500,2,58,7,2025-W33,2,33,2025,CO8461_Compactor,1,1.0,1.0,1.0,1.0914285714285714,1.0,29.0,0.1076923076923077,1,0.8793103448275862,9,1.0914285714285714,1,0.2222222222222222,6.444444444444445,-0.8660254037844384,-0.5000000000000004,-0.7485107481711011,-0.6631226582407952,0.5773502691896255,2.0
S004,Bulldozer,2025-W33,2025-08-16,2025-08-20,BU8899,250,3,30,6,2025-W33,1,33,2025,BU8899_Bulldozer,1,1.0,1.0,1.0,0.5435066631826496,3.0,30.0,0.16666666666666666,0,0.8,4,0.5435066631826496,1,0.75,7.5,-0.8660254037844384,-0.5000000000000004,-0.7485107481711011,-0.6631226582407952,0.0,1.0
S004,Loader,2025-W33,2025-08-16,2025-08-24,LO9796,300,3,70,14,2025-W33,1,33,2025,LO9796_Loader,1,1.0,1.0,1.25,0.6365328370114332,3.0,70.0,0.16666666666666666,4,0.8,8,0.6365328370114332,1,0.375,8.75,-0.8660254037844384,-0.5000000000000004,-0.7485107481711011,-0.6631226582407952,0.0,1.0
S003,Compactor,2025-W33,2025-08-14,2025-08-17,CO7030,450,0,14,2,2025-W33,2,33,2025,CO7030_Compactor,1,1.0,1.0,1.0,0.9822857142857143,0.0,7.0,0.125,1,0.8571428571428571,3,0.9822857142857143,0,0.0,4.666666666666667,-0.8660254037844384,-0.5000000000000004,-0.7485107481711011,-0.6631226582407952,0.5773502691896255,2.0
S004,Crane,2025-W33,2025-08-12,2025-08-20,CR5266,250,0,44,12,2025-W33,1,33,2025,CR5266_Crane,1,1.0,1.0,1.0,0.5314533622559653,0.0,44.0,0.21428571428571427,2,0.7272727272727273,8,0.5314533622559653,0,0.0,5.5,-0.8660254037844384,-0.5000000000000004,-0.7485107481711011,-0.6631226582407952,1.0000000000000004,3.0
S002,Excavator,2025-W32,2025-08-10,2025-08-17,EX8187,450,1,34,8,2025-W32,1,32,2025,EX8187_Excavator,1,1.0,2.0,1.25,0.9858742004264393,1.0,34.0,0.19047619047619047,3,0.7647058823529411,7,0.9858742004264393,1,0.14285714285714285,4.857142857142857,-0.8660254037844384,-0.5000000000000004,-0.663122658240795,-0.7485107481711013,0.5773502691896257,2.0
S001,Crane,2025-W32,2025-08-08,2025-08-14,CR2101,500,0,22,3,2025-W32,3,32,2025,CR2101_Crane,2,1.0,1.0,1.25,1.0629067245119306,0.0,7.333333333333333,0.12,2,0.8636363636363636,6,1.0629067245119306,0,0.0,3.6666666666666665,-0.8660254037844384,-0.5000000000000004,-0.663122658240795,-0.7485107481711013,1.0000000000000004,3.0
